N,Z,element,be_per_a,beta_decay_energy,atomic_mass,s2n,s2p,qa,q2b,qep,qbn,s1n,s1p,q4b,qda,qpa,qna
1,0,n,0.0,0.782347,1.0086649159,,,,,,,0.0,,,,,
0,1,H,0.0,,1.007825031898,,,,,,,,0.0,,,,
1,1,H,1.1122831000000002,,2.014101777844,,,,,,,2.2245662000000004,2.2245662000000004,,23.8465299,,
2,1,H,2.8272654000000004,0.01859202,3.01604928132,8.481796300000001,,,-13.717,,,6.2572301,,,17.589299900000004,19.8138661,
1,2,He,2.57268044,-13.736,3.01602932197,,7.7180413,,,,,,5.4934750999999995,,18.353054800000002,,20.5776211
0,3,Li,-2.267,,3.030775,,-6.8,,,8.242,,,,,,,
3,1,H,1.7204491000000002,22.1962131,4.026431867,4.657229999999999,,,-0.7020609,,1.6185921,-1.6,,,,21.4138661,
2,2,He,7.0739156,-22.898274,4.00260325413,,,0.0,,,-34.313,20.5776211,19.8138661,,0.0,0.0,-0.0
1,3,Li,1.1537602999999998,,4.027185561,,2.3904751,,,3.0844079000000004,,11.415000000000001,-3.1029999,,,,23.680621
4,1,H,1.3363592000000002,21.6612131,5.035311492,-1.8000001,,,21.2135602,,22.3962132,-0.2,,,,,
3,2,He,5.5121325,-0.4476529,5.012057224,19.842621,,0.735,-25.907,,-22.163274,-0.735,20.6788661,,6.9922301,2.9595663,
2,3,Li,5.266132499999999,-25.46,5.0125378,33.131,17.8488662,1.9649999,,-20.2312132,,21.7156211,-1.9649999,,7.458475000000001,,4.189566200000001
1,4,Be,0.018000000000000002,,5.03987,,-7.63,,,27.425,,,-4.527,,19.183,,
5,1,H,0.9616395,24.283629400000002,6.044955437,-1.1119594,,,27.7888441,,22.573172500000002,-0.9119594,,-5.444,,,
4,2,He,4.878519900000001,3.5052147000000002,6.018885889,0.9754569000000001,,,-0.7829387000000001,,-2.1581098,1.7104568999999998,22.589323,,3.6817732000000003,7.5063394,
3,3,Li,5.3323312,-4.288153400000001,6.01512288742,27.378945599999998,25.1121907,-1.4737583,-33.233000000000004,-26.0945377,-31.123,5.6633245,4.4333246,,22.3727716,4.0197168,4.7834717
2,4,Be,4.4872478000000005,-28.945,6.0197264090000004,,-1.3721758,,,-0.1451712,,26.835,0.5928241000000001,,3.762651,-5.428,9.0902171
1,5,B,-0.467,,6.0508,,-7.4190000000000005,,,28.352,,,-2.892,,,,24.299
6,1,H,0.9400000000000001,23.062,7.052749,-0.1,,,34.228,,23.472,0.812,,21.459,,,
5,2,He,4.1230578,11.1660229,7.027990652,1.3007426,,,10.3041299,,3.9149290000000003,-0.4097143,23.0915681,,3.8914875,6.3160537,
4,3,Li,5.6064400999999995,-0.861893,7.01600343426,12.9144184,32.5632846,-2.4676221000000003,-12.7694481,-34.257591,-11.5392472,7.2510939,9.9739616,,14.3866777,17.346244,-4.0676222
3,4,Be,5.3715487,-11.9075551,7.016928714,37.512,10.0401785,-1.5871370999999999,,-9.1120686,-39.622,10.6773542,5.6068539,,14.800917799999999,-4.690137,18.990484000000002
2,5,B,3.5587055000000003,,7.029712,,-1.4197238,-3.415,,6.3007013,,27.715,-2.0125479,,1.249,,7.999765099999999
6,2,He,3.9245210000000004,10.6638784,8.033934388,2.1250484000000003,,,26.668011200000002,,8.631260200000002,2.5347627000000004,24.814,-3.4545863,0.44476540000000003,3.5812910000000002,
5,3,Li,5.1597124,16.004132900000002,8.022486244,9.283712,35.5078621,-6.1002403,-1.9757645000000001,-35.478,-2.8945112,2.0326182,12.4162941,,14.0645164,14.578625700000002,-6.3002404
4,4,Be,7.0624356,-17.9798973,8.005305102,29.5759983,27.2283656,0.0918399,-30.1225975,-28.4204269,-30.8061992,18.898644,17.254403999999997,,1.5655983000000002,-1.8731600000000002,-0.6431601000000001
3,5,B,4.7171551,-12.1427002,8.024607315,40.541000000000004,5.7432536,-4.8265367999999995,,0.7254933,,12.8263018,0.13639969999999998,,15.2573422,-9.353,16.8890843
2,6,C,3.1015242,,8.037643039,,-2.1112932,,,12.0063005,,,-0.09874530000000001,,-1.545,,3.572
7,2,He,3.349038,15.9809213,9.043946414,1.2799373,,,29.5873755,,11.9187038,-1.2548253999999999,,12.024855100000002,2.512,3.924157,
6,3,Li,5.0377685,13.6064541,9.026790191,6.0948357,38.758,-10.362457899999999,12.5384192,,11.941915300000002,4.0622175,13.943748900000001,,9.592584500000001,12.226865100000001,-11.2744173
5,4,Be,6.4626693,-1.0680349000000002,9.012183062,20.5631828,29.3026187,-2.3076989,-17.5625203,-27.550203000000003,-19.6444361,1.6645388,16.886324700000003,,7.1521533,2.1256257,-0.5972419999999999
4,5,B,6.2570713,-16.494485400000002,9.013329645,31.4027031,17.0685609,-1.6873169000000001,,-15.8182898,-30.7191014,18.5764012,-0.18584309999999998,,7.3582952,-1.0944928,3.9760076
3,6,C,4.3374233,,9.031037202,,1.4359685,-10.653,,16.6803285,,14.224616000000001,1.2995688,,11.945225500000001,-13.545,16.1823397
8,2,He,2.995134,16.1445191,10.052815306,-1.4448277,,,36.5896601,,16.170923600000002,-0.19000229999999999,,33.498473700000005,,4.926,
7,3,Li,4.5313512000000005,20.4451411,10.035483453,4.035813,,-11.248012800000001,21.002017,,13.632858700000002,-0.0264045,15.1721698,-5.7473998,12.1537518,11.8435553,-10.436
6,4,Be,6.497630600000001,0.5568759,10.013534692,8.4768212,33.580138500000004,-7.409524500000001,-3.0911864000000002,-35.6173109,-7.8803173,6.8122824,19.6363895,,2.3724890999999997,2.5644371,-7.8192388
5,5,B,6.4750835,-3.6480623000000003,10.012936862,27.0135945,23.473136,-4.4611857,-26.7494168,-20.1932654,-24.931678700000003,8.4371932,6.586811300000001,,17.819746,1.1456682,2.7899081999999997
4,6,C,6.0320426,-23.101354500000003,10.016853217,35.5082323,3.8209409,-5.1012767000000006,,-2.938749,,21.2836164,4.006784000000001,,3.487911,-7.1138246,5.5760775
3,7,N,3.6436724,,10.04165354,,-1.3005163,-10.945,,19.0945706,,,-2.6000851,,14.446565300000001,,16.7698769
8,3,Li,4.1553817,20.551089800000003,11.043723581,0.3692826,,-10.832,32.060550400000004,,20.049454,0.3956871,15.7578592,16.3626146,10.5032392,13.9826309,
7,4,Be,5.9525402000000005,11.5094607,11.02166108,7.3139182,35.3365997,-8.3208746,9.5277718,-36.308948900000004,0.0552401,0.5016358000000001,20.1644299,-27.5617445,5.9330708,4.0954195,-5.7861119
6,5,B,6.9277323,-1.9816889000000002,11.009305166,19.8914138,30.865139,-8.6643124,-15.6979358,-31.673890500000002,-15.1022829,11.454220600000001,11.2287495,,8.0300643,8.5900917,-6.6316942
5,6,C,6.6764563,-13.7162469,11.011432597,34.4042103,15.276995999999999,-7.5445165,-37.0895162,-9.247060600000001,-36.221948499999996,13.120593999999999,8.6901847,,8.9437182,-7.4081168,11.3541276
4,7,N,5.3584023,-23.3732693,11.026157593,,2.628784,-5.7358247,,5.0260622,,22.505701600000002,-1.3779999,,6.1654797,-5.83457,7.0904771
9,3,Li,3.7915999,23.931815200000003,12.052613942,0.1856871,,,35.6401788,,20.7610898,-0.21,,31.671508600000003,10.523237,12.937805500000001,
8,4,Be,5.7207223,11.7083636,12.026922082,3.6723612,38.6973273,-8.9568373,25.0777615,,8.3387353,3.1707254,22.9394682,-6.9355735,2.7359409,4.986911600000001,-10.211662700000002
7,5,B,6.6312237,13.369397900000001,12.014352638,14.823848900000002,34.2611718,-10.0013225,-3.9686702,-34.647831700000005,-5.3513172,3.3696283,14.096742,,11.4727184,6.8850022,-5.9391049
6,6,C,7.6801446,-17.3380681,12.0,31.8413091,27.1854287,-7.3665875,-32.013334900000004,-27.466139899999998,-32.436962,18.720715100000003,15.9566792,,-1.3398036,-7.5524306,-5.702048700000001
5,7,N,6.17011,-14.6752668,12.01861318,37.6045955,9.2904847,-8.0084167,,1.3813889,-38.472163200000004,15.0988939,0.6003,,12.3502022,-6.708848,10.567984500000001
4,8,O,4.881975499999999,,12.034367726,,-1.7367199,-5.4758501,,14.0749668,,23.7968964,-0.3587199,,3.9241145000000004,,8.7487659
10,3,Li,3.5076307000000004,23.3218152,13.061171503,-0.1100001,,,40.4189467,,23.8318153,0.1,,51.6354137,,12.6478033,
9,4,Be,5.241435900000001,17.0971315,13.036134506,2.6607254,,-9.701662700000002,30.5340702,,12.2183636,-0.51,22.6394682,10.5436479,3.6416280000000003,5.4705071,-9.8916649
8,5,B,6.4964194,13.4369387,13.017779981,8.2483962,38.7442527,-10.817872900000001,11.2164669,-39.7365997,8.49063,4.8787679,15.8047845,-25.468,7.0955863,8.8185167,-10.844277400000001
7,6,C,7.4698495000000005,-2.2204718,13.00335483534,23.6670238,31.630101600000003,-10.6483575,-19.9904224,-29.241723200000003,-22.284376799999997,4.9463086999999994,17.5333596,,5.1681082,-4.0615461,-3.8360749999999997
6,7,N,7.2388634000000005,-17.7699506,13.005738609,35.162799,17.9001692,-9.4959206,-36.684,-15.3128879,-34.7391719,20.0639051,1.94349,,5.4068911,-5.4891366,-1.0587274
5,8,O,5.8117636,-18.915,13.024815435,40.7661177,2.1119075,-8.2204554,,15.8264606,,16.9692213,1.5116075000000002,,9.4605948,-10.820540600000001,13.063161000000001
10,4,Be,4.9938972999999995,16.2908166,14.04289292,1.2658951,,-11.667560100000001,36.9346092,,15.3212364,1.7758951,24.3153634,31.9467213,1.6557328,4.0902991,
9,5,B,6.1016451,20.6437926,14.02540401,5.8483482,39.9238329,-11.8138576,20.8002691,-40.60618,12.467358500000001,0.9695802,17.284364699999998,-8.3007168,9.2967314,8.3505723,-11.4181705
8,6,C,7.5203198,0.1564765,14.00324198862,13.122742800000001,36.635810299999996,-12.012509099999999,-4.9878879,-37.9281573,-10.3969059,8.1764341,20.8310258,,0.36130239999999997,-0.7837597,-11.5108733
7,7,N,7.475614800000001,-5.1443643,14.00307400425,30.617287400000002,25.0839232,-11.612109700000001,-29.1009859,-20.9875023,-28.3233329,10.553382299999999,7.5505636,,13.574223900000002,-2.9219250000000003,-0.1578891
6,8,O,7.0522783,-23.9566215,14.008596706,40.1481899,6.570161000000001,-10.1158076,,-2.4061992,-42.093,23.1789686,4.626671,,1.3805201,-11.4938076,3.0047863
5,9,F,5.2852091,,14.034315196,,-0.0483925,-9.2605406,,19.3299505,,18.137,-1.5599999,,10.6618748,-10.910455400000002,13.245161
11,4,Be,4.5409708,20.868441100000002,15.053490215,-0.024104900000000002,,,39.952675400000004,,18.0908166,-1.8,,46.9701984,3.5557328000000004,5.6802991,
10,5,B,5.8800438,19.084234300000002,15.031087023,3.7472046999999997,42.6014574,-14.195795,28.8559414,,17.8661681,2.7776245,18.2860941,12.3906273,6.0091069,8.7436732,-14.405795000000001
9,6,C,7.1001696,9.7717071,15.010599256,9.3945003,38.363876499999996,-12.728939500000001,7.017523000000001,-37.3703284,-1.0615897,1.2180662,21.079511800000002,-30.3422285,4.0220042,1.3678025,-9.558214099999999
8,7,N,7.6994603,-2.7541841,15.00010889827,21.386679100000002,31.0384521,-10.991185900000001,-16.4653141,-30.8512189,-15.977661099999999,10.833296800000001,10.2074263,,7.687235800000001,4.9654933,-7.6215576
7,8,O,7.4636915,-13.711129999999999,15.003065636,36.4024456,14.8473293,-10.2186907,-37.3597515,-7.453242100000001,-37.1800986,13.223477,7.2967657,,8.2209481,-9.6183907,8.5020244
6,9,F,6.4974597,-23.6486215,15.017785139,41.606,3.3566711000000002,-10.2238076,,6.4143643,,23.4689686,-1.2699999,,4.1621274999999995,-10.582527599999999,4.8750863
5,10,Ne,4.8687285000000005,,15.043172977,,-2.5219999,-9.9484554,,24.9186215,,,-0.9619999,,8.896,,13.848441000000001
12,4,Be,4.2852851,20.3354399,16.061672036,-1.3500001,,,43.7530055,,20.4184411,0.45,,62.1841409,,5.3302991,
11,5,B,5.507353500000001,23.417565600000003,16.039841045,2.6946232,,-14.3227938,31.427791600000003,,19.1672355,-0.0830012,20.0030929,26.436517000000002,7.868003300000001,8.3166744,-14.2227938
